DATE,SECTOR,CNT
20250404,엔터,2
20250404,스마트팩토리,1
20250404,화장품,2
20250406,엔터,1
20250406,자율주행,1
20250407,6G,1
20250407,엔터,1
20250407,자율주행,1
20250407,2차 전지,1
20250407,화장품,1
20250408,6G,5
20250408,엔터,1
20250408,자율주행,2
20250408,2차 전지,3
20250409,반도체,1
20250409,6G,2
20250409,엔터,3
20250409,스마트팩토리,1
20250409,2차 전지,2
20250410,6G,1
20250410,엔터,2
20250410,스마트팩토리,1
20250410,자율주행,1
20250411,6G,1
20250411,2차 전지,1
20250411,화장품,1
20250413,화장품,1
20250414,엔터,1
20250414,스마트팩토리,1
20250414,자율주행,1
20250414,2차 전지,1
20250415,반도체,4
20250415,6G,1
20250415,엔터,1
20250415,자율주행,2
20250415,2차 전지,2
20250415,화장품,5
20250416,6G,2
20250416,자율주행,2
20250416,2차 전지,1
20250416,화장품,2
20250417,반도체,3
20250417,6G,1
20250417,엔터,2
20250418,6G,1
20250418,엔터,2
20250420,6G,1
20250420,엔터,1
20250420,스마트팩토리,1
20250421,엔터,1
20250421,스마트팩토리,1
20250421,자율주행,2
20250422,6G,3
20250422,스마트팩토리,1
20250422,자율주행,1
20250423,자율주행,4
20250423,화장품,1
20250424,6G,1
20250424,엔터,2
20250424,자율주행,2
20250424,화장품,1
20250425,6G,4
20250425,엔터,1
20250425,자율주행,3
20250425,화장품,1
20250426,6G,1
20250426,자율주행,1
20250427,6G,5
20250427,엔터,2
20250428,6G,3
20250428,엔터,1
20250428,자율주행,1
20250428,2차 전지,1
20250429,6G,3
20250429,엔터,8
20250429,스마트팩토리,2
20250430,엔터,6
20250430,스마트팩토리,1
20250430,자율주행,3
20250430,2차 전지,1
20250430,화장품,5
20250501,엔터,1
20250502,엔터,4
20250502,자율주행,4
20250502,2차 전지,1
20250502,화장품,1
20250503,2차 전지,1
20250503,화장품,1
20250504,자율주행,1
20250504,2차 전지,1
20250505,6G,1
20250505,엔터,3
20250506,반도체,1
20250506,엔터,1
20250506,스마트팩토리,1
20250507,반도체,8
20250507,6G,3
20250507,엔터,4
20250507,스마트팩토리,2
20250507,자율주행,4
20250507,화장품,1
20250508,반도체,1
20250508,6G,3
20250508,엔터,3
20250508,스마트팩토리,1
20250508,화장품,1
20250509,반도체,1
20250509,6G,1
20250509,엔터,12
20250509,자율주행,1
20250510,스마트팩토리,1
20250511,6G,2
20250511,엔터,1
20250512,6G,5
20250512,엔터,4
20250512,자율주행,8
20250512,화장품,5
20250513,반도체,2
20250513,엔터,3
20250513,자율주행,1
20250513,화장품,7
20250514,6G,4
20250514,엔터,3
20250514,자율주행,1
20250514,2차 전지,2
20250514,화장품,3
20250515,반도체,2
20250515,6G,2
20250515,엔터,7
20250515,스마트팩토리,5
20250515,자율주행,4
20250515,2차 전지,1
20250516,반도체,2
20250516,6G,5
20250516,엔터,1
20250516,자율주행,1
20250516,화장품,4
20250517,엔터,1
20250519,반도체,1
20250519,6G,1
20250519,엔터,1
20250519,2차 전지,2
20250519,화장품,2
20250520,반도체,2
20250520,6G,1
20250520,엔터,5
20250520,스마트팩토리,4
20250520,자율주행,3
20250520,화장품,8
20250521,반도체,6
20250521,6G,1
20250521,엔터,1
20250521,자율주행,3
20250521,2차 전지,2
20250521,화장품,7
20250522,반도체,2
20250522,6G,3
20250522,엔터,2
20250522,스마트팩토리,1
20250522,자율주행,2
20250522,2차 전지,2
20250522,화장품,4
20250523,6G,3
20250523,엔터,2
20250523,자율주행,1
20250523,화장품,3
