SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체,SK 하이닉스,이콘밍글,삼성전자·SK하이닉스까지 난리났다...확 달라진 증권가 분위기 - 이콘밍글,삼성전자·SK하이닉스까지 난리났다...확 달라진 증권가 분위기,https://news.google.com/rss/articles/CBMigAFBVV95cUxPajZYcUk0U19iZkh2dnZOcHoxTlh2OThRZzdPblQ1cmptUVlBc3FGdGxLSEdOczRTTDdWMEJFdUI1d2xaTzBlQ193YWh6SzlVV2VaOUZBdXNpZUIwR3ktRGFpZGRhNzZScDVwSFBqdG42QVJPWTNsbUtaa2o4dVFKVdIBiAFBVV95cUxQSlhhaEh2cXlzVjJtTkQzVklXVWpSNDBhR2dxNXdaNllvellsdGxINGF4b2Q3a3N4VWRMQS1CZmp2ZEdBSWZZX1lTQlU1ZnpwM25FSTIzdm5fMWNmQU9RaHBxc3RqNHYtSnlRVnVwT1dEYW5ETlcxZk93THQ5d18xTlFnUElxV3pC?oc=5,2025-06-08,2025-06-29 20:07:53
반도체_이슈,미중 갈등,더구루,"前 모건스탠리 아시아 회장 ""미중 갈등으로 홍콩 금융허브 재부상"" - 더구루","前 모건스탠리 아시아 회장 ""미중 갈등으로 홍콩 금융허브 재부상""",https://news.google.com/rss/articles/CBMiYkFVX3lxTE9mV09vWDZIRkhtaUFDZV9mWElqSUVPaG4zektNbjIxaHBRNjZwU2FGcHJPU25sN2V4RzJZRHVvN3I1S01wY0NhYkZEaTFjc2FLVTlYeE1Lb09DRGNYbjNlR2dR?oc=5,2025-06-08,2025-06-29 20:07:55
6G_이슈,6G,디지털데일리,이재명 정부 제시한 `6G 로드맵`…선결과제는 규제완화·투자촉진 - 디지털데일리,이재명 정부 제시한 `6G 로드맵`…선결과제는 규제완화·투자촉진,https://news.google.com/rss/articles/CBMiYkFVX3lxTFBBT2tSTjR6dDducF9oYXVQa1lEU0tzQTgzQTRMeVFXZTEyaTBjc2tKZ0V5U2RkS09TdjhHTm9Qa0pfMnFrZzNwRE1aY0NiSzAxWVFxeXBac1lueVdkTWpDTmx3?oc=5,2025-06-08,2025-06-29 20:07:56
6G_이슈,6G,연합뉴스,6G통신부터 AI로봇까지…디지털 기술이 그리는 미래 - 연합뉴스,6G통신부터 AI로봇까지…디지털 기술이 그리는 미래,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5vWmtkTlh1MW5oa2I5ak5rQjZXS1pSTVYwLXVVRmRaZmZOZEZxZmNPQml4dkgwNDR3ZFNiV1U0UEZnZkVKb2lOcFpEaG5mV0E0OG9fSk1qMEJZLTjSAWBBVV95cUxQMlFIeXFqX2hZUDVWZGxZbmJWNVhtWXF1SG1tVTdSa213OHFXbTZTYjNkMHU5RkRVYTctRjZWcG5qaHRsUE9sN0lpWGF3UmhJd0k1S295ZzNWbVVjdERxa3Q?oc=5,2025-06-08,2025-06-29 20:07:56
6G_이슈,주파수 경매,전자신문,주파수재할당 세부방안도 이재명 정부로…가격·용량·기간 등 관전포인트 - 전자신문,주파수재할당 세부방안도 이재명 정부로…가격·용량·기간 등 관전포인트,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBodVRRZUVhRWJHMHRlWDg4ckpiWFF2cUdPdVJtTTR5VG9KbmdfUl9mbmw3c2taNTJqcTdqSjlUQnVQUTRFcUkzUjJZd2Jadw?oc=5,2025-06-08,2025-06-29 20:07:57
엔터,하이브,글로벌이코노믹,"하이브, 멕시코·브라질 겨냥 스페인어권 아이돌 제작 본격화 - 글로벌이코노믹","하이브, 멕시코·브라질 겨냥 스페인어권 아이돌 제작 본격화",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNOFhuSFdYZ1U2b3Q0alNvQkNsSTRTZDV2aTFfaUVna3pScWlUNTJSdEplMnFGUHNubVNnZkVXWEIwd1Jwd01nMGtwSUFDVUV2LTlFSEktWFdKSElFUWIxdXZDNUs1bWVIRS0tamh1NXNtTEctR05jX2VNNDRkOVZNSGRFQnVzODZv?oc=5,2025-06-08,2025-06-29 20:07:57
엔터,JYP,스포츠경향,"[종합] 미쓰에이 민, 훈남 사업가와 결혼…JYP 원년 멤버들 총출동, 수지는 어디에? - 스포츠경향","[종합] 미쓰에이 민, 훈남 사업가와 결혼…JYP 원년 멤버들 총출동, 수지는 어디에?",https://news.google.com/rss/articles/CBMiXkFVX3lxTE1wQUhfNk8tV2o5dURlVDM1cVlmeDFkam81VU9ONFhjRTlLZ1YxaDFJTV95YThmdW1ESFlwY0V6T2JKbVN4SU5VRWowY05zVUl2S3NaQkpoWE9RWDlRQWfSAWNBVV95cUxOYUlHMFE3QWJ5Qm81bUVNa2lLUUx2Q29NSzdmcUdnQXVaQWNkdW1RdUV2ZnRVNU81bmZxWDVCblhJVV91RXFIVnBKU3dySGIyV0JvS0Nyb3pLSDA5R295eUJHVGM?oc=5,2025-06-08,2025-06-29 20:07:57
엔터,에스엠,AI타임스,"더에스엠씨 ""AI 광고가 매출 증가 사례 만들어…단순 활용 넘어 AI 내재화가 중요"" - AI타임스","더에스엠씨 ""AI 광고가 매출 증가 사례 만들어…단순 활용 넘어 AI 내재화가 중요""",https://news.google.com/rss/articles/CBMiakFVX3lxTE1FS1FKekMwLXhXd2dFTnBaUFpuYk1fbExJRUZLT1pnalNLVl9OVGdybXpSUGFpblZEbkRNQloxY2ZRaHhXaEZRaWtKN2dBcDROMEJEdjUyaXJIUnlJbFZ0eEJScndtVFpBY0E?oc=5,2025-06-08,2025-06-29 20:07:58
엔터_이슈,한한령,이데일리,한한령 해제되면 '대박'…李대통령 당선에 이 종목 들썩 - 이데일리,한한령 해제되면 '대박'…李대통령 당선에 이 종목 들썩,https://news.google.com/rss/articles/CBMigAFBVV95cUxQbENxUzhMdnNwNFlyNGMtaFVzQXl3NmhjX25RNDRzamgxaFliU0hsejBHV295Y0NsQ2J6bDlaOWtjek9FQWtjZDJ4elAzRnU3RDhlSHQ1Y2VuUm1xdXl1cU00RENnM2FGZWJKTmpPb3JadENjR0VBQjFrOTZfTWxOaA?oc=5,2025-06-08,2025-06-29 20:07:58
엔터_이슈,공연,세종의소리,“공연·미식 즐기러 6월 13~19일 세종으로 밤마실 오세요” - 세종의소리,“공연·미식 즐기러 6월 13~19일 세종으로 밤마실 오세요”,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5mTW5PRHJiSG5Rb3AtVVRsdjdDVmczcHZWTTZnM25kN05leWxHcnpTMHh2anhzYlluWnktY25lVjBkQ3dfa29JaXlFSGtYSFJJZ2lQaE9yS204djRNZnNQUnZralVLQQ?oc=5,2025-06-08,2025-06-29 20:07:58
