SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G,쏠리드,뉴스토마토,"IITP도 점찍은 쏠리드, 글로벌 중계기·오픈랜 시장서 '두각' - 뉴스토마토","IITP도 점찍은 쏠리드, 글로벌 중계기·오픈랜 시장서 '두각'",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1lcGVKaFJRcmRlaG5SbmYtaUEtOWYtcnlMaHBERDJSVV9LZEFsejBOTGwzZVpXS200X0pYXzYwTDlPcHdZdHF0UXZ0WE1sVjlnUU95Tnc4T0xsMHUxcmdacQ?oc=5,2024-12-27,2025-06-29 20:07:56
6G,쏠리드,비즈니스포스트,"하나증권 ""미국 양자컴퓨터주 주가 급등, 쏠리드 한국첨단소재 주목"" - 비즈니스포스트","하나증권 ""미국 양자컴퓨터주 주가 급등, 쏠리드 한국첨단소재 주목""",https://news.google.com/rss/articles/CBMic0FVX3lxTE02cWh6aWRTZGEybGhiR3dhTFRFT19yY2JtdDF3QnViQkw2YVIxcjRuekh5Y1dwMVJlMWJkRkRwQkMySXV6bXlXRGsxeU1FOFdPWFFHNzNTbG5oWlhTakoxX3laWHQxcl9yQ3lBdFR0TGFtREU?oc=5,2024-12-27,2025-06-29 20:07:56
엔터,와이지 엔터,머니투데이,"YG엔터, '프로젝트 유어사이드' 등 통해 문화 격차 해소 - 머니투데이","YG엔터, '프로젝트 유어사이드' 등 통해 문화 격차 해소",https://news.google.com/rss/articles/CBMiZkFVX3lxTFBVUW9URDRHRUNzbGE5MG5ZTVVRcVVWUnkwWG94Q2dJUDlBeFgyUWJUWHdCU29hcS11dllOVkdleGlyZ3RIUmVEWWs3OXdRb2dpQk52dzdROGNzN1haeldkeHRCNzhuUdIBbkFVX3lxTE9VVWRraFRuakV1cUtHU0ktbHFmWldlNmVlR3VJbWx0ZWlBZjdHTEUxNWpQZ2tab0JFQ01qcjJteWtvUjVwekxuWFdYWDJXWHZRdWlTWDNRbks0RzBvb1d1Q3o3bG1hSTFudE9sME9n?oc=5,2024-12-27,2025-06-29 20:07:57
자율주행,에스오에스랩,프라임경제,"에스오에스랩·KG모빌리티, '자율주행 핵심' 차량 ADA 고도화 - 프라임경제","에스오에스랩·KG모빌리티, '자율주행 핵심' 차량 ADA 고도화",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5SVFBkcDMwdEZIazZSTk1nTi1saWtuWUVWWTQxT2s3bzBZQXVLaGNjT2FON3E3d1VxNUxFcS12bFZBZ0NjS21vU1FpU1J4UHhONDBFbEZkSGVaVFFCS0ZSUQ?oc=5,2024-12-27,2025-06-29 20:08:02
자율주행,에스오에스랩,DealSite경제TV,"에스오에스랩, KGM과 운전자 주행지원시스템 고도화 MOU - DealSite경제TV","에스오에스랩, KGM과 운전자 주행지원시스템 고도화 MOU",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5xVjRTX1ZUV2Z6NzNXeGpUaVZpcXlMUVd2bnNRUlhLTnVoV1NmbVFiM25WUXV5Vk82OEJUY0xlaS0tbi16bVlKUDA4UnFrUmM?oc=5,2024-12-27,2025-06-29 20:08:02
자율주행_이슈,ADAS,오토뷰,"KGM, 첨단 운전자 보조 시스템(ADAS) 고도화 MOU 체결 - 오토뷰","KGM, 첨단 운전자 보조 시스템(ADAS) 고도화 MOU 체결",https://news.google.com/rss/articles/CBMibEFVX3lxTFBsU1BzNjloQlpfOXd4YVJiWlpqQlNnZ2lYNGlLaXNqbGdlQ1RuNU9CUjJvZzBtU1ZqN2NuSWw1SWp1VktPYUhUYWRfd0RWNkxtTDhiR0piLXJkbFFOV0pzVEZJWFBicmxTZkFkTdIBcEFVX3lxTFBtaHh2bmQwQ0tVbF9fN1FnVXJiN0wyaUpQZEZ0ME0tbVRGMHZVOTA1WjdDU0ZWblFiemI5U2Q1N2FsX3NGREpBSXp5cWZkcER3U29FRE1vR0tzRXRyRFNSSE5MY094SWt6TTFIMmJfaS0?oc=5,2024-12-27,2025-06-29 20:08:03
자율주행_이슈,ADAS,디지틀조선일보,"KGM, ADAS 고도화… ""미래 모빌리티 시장 경쟁력 확보"" - 디지틀조선일보","KGM, ADAS 고도화… ""미래 모빌리티 시장 경쟁력 확보""",https://news.google.com/rss/articles/CBMihwFBVV95cUxQSDk2MnpEM3Z5T3N0VkZRZDVCVVZxOFNUTDhnOVF5ZEY3a2lCQ2dFN2FkMTk1TzEySU14M2UzYnF6bUxCbFJiMnJXV2dZdnpXdzhrLTdBSndVclhVMVhLb29iLU9XbFBDa2kxZ1I5V2lpS1B3RWxubjVmaHkzb2FqZHBfZXMzb3fSAXtBVV95cUxOYS1mcmlfZEhQazVwX2N0VDF5ZVdXVXVSblJ5WUhtanYtTm9VYlZkUTAyeWQ4b0xHNHhmbWx3RUMzYmtoRWtRWEQtYjlqdnBfcThsXzVSVWdsRFUyM2trLWNXbWxhRFRHaUkxV3JmN3NwakRjZGdLMzQwc1k?oc=5,2024-12-27,2025-06-29 20:08:03
