SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
엔터_팀,트레저,네이트 뉴스,"트레저, 美 투어 일정 공개…2025년 전방위 활약 예고 - 네이트 뉴스","트레저, 美 투어 일정 공개…2025년 전방위 활약 예고",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1KMEFpcjJheEg2S3NoTU80WlNMRnZhNGZuUGs0X1B6ZzRkWXh0UmlWbklMN1Rxc3NGZHd4S3VzclpsLWYzZTRCMHYxaXZ6eS1LQk5B?oc=5,2025-02-01,2025-06-29 20:08:01
2차전지,SK온,skinnonews.com,"SK온, 3사 합병 마무리… 차별적 경쟁력 키워간다 - skinnonews.com","SK온, 3사 합병 마무리… 차별적 경쟁력 키워간다",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1ZT01INHVKZHNZT2pzaHRXODU4SjJySlJnbHdHN3M4RWxmOUVWTkNJTHFzUXIzYkZYdDN4a21wMnRTbFN0by1WZGs1MHpOUWM?oc=5,2025-02-01,2025-06-29 20:08:04
화장품,아모레퍼시픽,전자신문,"아모레퍼시픽, 채널 다변화로 반등 모색…“매장 줄고 온라인 비중 확대” - 전자신문","아모레퍼시픽, 채널 다변화로 반등 모색…“매장 줄고 온라인 비중 확대”",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5fVWZkdWNTYV8xRzRCVkZmSlNZV3NOa1VQREI5VGpzUkFVb3BtaDEzbUU3ZUZnSUdtVjZPazEwczZTSmprc3dxZ1lISlhvQQ?oc=5,2025-02-01,2025-06-29 20:08:05
