SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체,AMD,동아일보,살릴 라제 AMD 부사장 “FPGA 40주년··· 지속적인 통합이 AMD의 전략” - 동아일보,살릴 라제 AMD 부사장 “FPGA 40주년··· 지속적인 통합이 AMD의 전략”,https://news.google.com/rss/articles/CBMib0FVX3lxTE9BV0h2OTQ0ZnlPYnQ3YXVhakQtR0ZJTE9XaVJ2OExYVU1oTDZjZEllWkk2Yk9vWGVsNTNsZGFhSVFxMUxpckVYQmVCek53RC1sLW92cF9PX1hVSGIwMkYxZUZtWGFJMk91emUzbzNha9IBZkFVX3lxTE8wN2lUOW9NZDRjaWE0Z0I1SjgwVUZZNThpQ01FVkZZeGlMVEpBTGlILWRVVmFBaFN2Y3RjUl8za0RHQjdKd1JzcGRqaHk4eUQ3cWxMenU2a2VlSEdHSjZ1TXM5clNZUQ?oc=5,2025-06-11,2025-06-29 20:07:53
반도체,AMD,데이터넷,"노키아, 클라우드 플랫폼에 5세대 AMD 에픽 프로세서 적용 - 데이터넷","노키아, 클라우드 플랫폼에 5세대 AMD 에픽 프로세서 적용",https://news.google.com/rss/articles/CBMibEFVX3lxTE05aFJMRXJ5dmtibmxFRXpuMXBTbDRuZjd0djZaRk1JV0ZOMlc2QncyX2lfN3dNb0VkcWpIeUZodV9TTWpzZk5CUTV5V1dBNWo0amktUkhKRkd6dU1KbVlSQTlSTWhrdG1DS3lyLQ?oc=5,2025-06-11,2025-06-29 20:07:53
반도체,SK 하이닉스,연합뉴스,"SK하이닉스 ""하반기 변동성 커…'성과급 룰' 최적의 방법 찾자"" - 연합뉴스","SK하이닉스 ""하반기 변동성 커…'성과급 룰' 최적의 방법 찾자""",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9kNHBYWVJpdC1udWkzNy1Ob25kU1lnVUloT2NPVDZQUV9Lam1RNnR1dU11UmJiTmlmQUY0dk54cGNqaXg4dUNhdDl4VjNpWFN5dXR5U3dwR2hRaUXSAWBBVV95cUxQRlpwRW9XY1lzQ2hNOXNJVFo4ZVB2OEYxZW5hbEt4UmJrZGtQY1Z0aFp5T0pQOTd5aEd1aC01bTBQNDF6R0U5bjlxOF9kYTg5S1VzVWplc2JXRWdiSkx2c3I?oc=5,2025-06-11,2025-06-29 20:07:53
반도체,TSMC,뉴스웍스,"파운드리 2나노 '3파전'…삼성전자, TSMC와 격차 줄일까 - 뉴스웍스","파운드리 2나노 '3파전'…삼성전자, TSMC와 격차 줄일까",https://news.google.com/rss/articles/CBMib0FVX3lxTE8xWnhlZFFKY2VMVk83bzh6Z25YRjRubXJQRzE5bERtYUR2QjNqekRNZ09XcjFIZ3dSd01DZlNJWkc4VlFOak1uUnJ0THJNb1Q2clZGZWpBS0NERjJWdG9ocW5TcE1pNmoyM3VlbmdoRdIBc0FVX3lxTE80eUVqaFoyTUt3NC1kSFozYjl5UVZGRjRxa3lPbkRVbk1TSmlPc2xfMG1NRTdsQU4wZkQ1RDktVlROWFdGcl9YNVVXWE03cXRMM3dYMGQwb3ladkVOSjB0V0JhRU53b0dIcWNpa2trOHJEaXM?oc=5,2025-06-11,2025-06-29 20:07:54
반도체,TSMC,비즈니스포스트,"""TSMC 3·4나노 파운드리 가동률 최대치"" 분석, 반도체 공급 가격 더 높인다 - 비즈니스포스트","""TSMC 3·4나노 파운드리 가동률 최대치"" 분석, 반도체 공급 가격 더 높인다",https://news.google.com/rss/articles/CBMic0FVX3lxTE5oN0dmSDl6RVptQmVkV1BIcjFFLUt5XzJSWkROckZmYXJPS0xROXBRNElfeTliRUdBdV9HMlpqT1d1WjRxZkJMSXB1N0sxNndPY3ZIN2I3T2txSWk4YkR2M21oMTVkRFZFakNwa19YMFNXblE?oc=5,2025-06-11,2025-06-29 20:07:54
반도체,삼성전자,비즈니스포스트,"홍콩 GF증권 ""삼성전자 엔비디아 6월 HBM3E 12단 인증 실패, 9월 재도전"" - 비즈니스포스트","홍콩 GF증권 ""삼성전자 엔비디아 6월 HBM3E 12단 인증 실패, 9월 재도전""",https://news.google.com/rss/articles/CBMic0FVX3lxTE9qR0RpQVRrQjYyWVM1UmJieFNmcmlXSnNrV1B0enlXZjdhc19mSkFXenNTck8waHVBZm9rVThzWHNrdHJXRGlOMkhnYkMyYm9oWEhrVlRONzZrM1d4dl96a0N6NlB2MFdzeDhRWHhNZ05RSEE?oc=5,2025-06-11,2025-06-29 20:07:54
반도체,삼성전자,뉴데일리 경제,"삼성전자, 갤럭시 S26 '두뇌' 양산 돌입 … 2나노 수율 잡았나 - 뉴데일리 경제","삼성전자, 갤럭시 S26 '두뇌' 양산 돌입 … 2나노 수율 잡았나",https://news.google.com/rss/articles/CBMie0FVX3lxTE5VTHBEODFieG5GT01qcWFkWWFPdGpQTWVOM1BRU2dPaTVTU0N1aXhqd21MYkxqR29HRjQzUTVjNlJEX213YmN4VjBnVkVKOUotX29ZNXZWOGhXd21zRHVlbnNSNnYwbDkxdFZENXlXUGI1ck1nQTBMNUlzVQ?oc=5,2025-06-11,2025-06-29 20:07:54
반도체_이슈,미중 갈등,theonetv.kr,"미중 갈등, '새로운 프레임워크'로 전환점 맞나 - theonetv.kr","미중 갈등, '새로운 프레임워크'로 전환점 맞나",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5WWmVobGxlQ1BFaUxQa1ppTVFlLWQ0YlN2cVpOTW1veWhKNzBDWERkdy1zb2xPcGFlVUFmSFpSVGRoQ0pYOXJiVmVIOVdaZWY2S2czMndwMUYyZENLcUdFLVpYeVlPVEww?oc=5,2025-06-11,2025-06-29 20:07:55
6G,RFHIC,뉴스임팩트,"RFHIC, 레이더용 전력증폭기 판매 호조로 '방산주' 정체성 부각 - 뉴스임팩트","RFHIC, 레이더용 전력증폭기 판매 호조로 '방산주' 정체성 부각",https://news.google.com/rss/articles/CBMiV0FVX3lxTE1RYWtDUTkxY1ZiZUIzM0pUaC1TOXlCZnFLUUhJWnZqTHlDZ0JOcGhNSFdPMWdxdnBObnpJRU5uZVBjNjMyWDRPUVRVeG5IN0RNQnFhR1dfbw?oc=5,2025-06-11,2025-06-29 20:07:55
6G,쏠리드,데일리인베스트,"[파워 e종목] 쏠리드, 하반기 美 주파수 경매로 통신 부문 매출↑…주가 향방은? - 데일리인베스트","[파워 e종목] 쏠리드, 하반기 美 주파수 경매로 통신 부문 매출↑…주가 향방은?",https://news.google.com/rss/articles/CBMia0FVX3lxTE1WamxKUkQtXzZpVm5mT19LbWg2eUhXS0otZGJHYVktM2FBOUozalRsU2JQcVJ3X3FuZWhTMTcyZm1wZlFfWFMwWE9QcjdSdmZic2VPelJLVG51Ym1XMWQ5aUNCcGNHc19TUU8w0gFvQVVfeXFMT1hQR2tubjJQVHVHYVFhTnFUaXFneHF2U2tSOGpGdkt0TXQyUkhaVFJ5b3pldTVwT2w5MGR2SGhIUDgyZXBmMktfTE94QTUwUFZwdTJoQVR3UjFFc3o5NnNfdy1uZG1QejlOWXd3THRR?oc=5,2025-06-11,2025-06-29 20:07:56
