SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G_이슈,주파수 경매,네이트 뉴스,"세부사항 발표까지 두 달…LTE 재할당, 과기정통부 vs 통신 3사 이견 좁혀질까 - 네이트 뉴스","세부사항 발표까지 두 달…LTE 재할당, 과기정통부 vs 통신 3사 이견 좁혀질까",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBaVjlXWGpwUlBseENQUnNPcHRDTHFCMGdGcGM1elBJSE0zcm14LTcxbjdCbGFYX0RrQ1V0RjA5bGI0YXVLQWNxdDhEVDlBNUxsUVJr?oc=5,2025-04-13,2025-06-29 20:07:57
엔터_팀,레드벨벳,조선일보,“‘이 다이어트’ 시작했다” 레드벨벳 조이… 실천 중인 ‘살 빼는 습관’ 뭘까? - 조선일보,“‘이 다이어트’ 시작했다” 레드벨벳 조이… 실천 중인 ‘살 빼는 습관’ 뭘까?,https://news.google.com/rss/articles/CBMidkFVX3lxTE9VeGN6V3hGOUFRekp6blFVYlNrT0ppb2JFcTFzU3UybzhQQ3dTZjUyWVJudTl5b3VNTGFubnJPemg1ZmRHdG93OHVld0RDSHkyMVA3bnFTX1dZNDZRcDBxa05LTmlOVG1FSjRtUkpDZHkwWFR0cWc?oc=5,2025-04-13,2025-06-29 20:08:00
엔터_팀,보이넥스트도어,조선일보,"보이넥스트도어, 첫 단독 투어 성황리에 마무리..""지금이 청춘"" - 조선일보","보이넥스트도어, 첫 단독 투어 성황리에 마무리..""지금이 청춘""",https://news.google.com/rss/articles/CBMiigFBVV95cUxPZzliZ3dfMlhHWTg1azFNRVp4SUg0YVk0UTdpa3N5MjM3VUNJX3kyRlNOSW9tQ3ZMX2hnMXBCeE9Tc0FyRXFHbGJyckZKeU1fQ0pSZEhQb21DUHJwWXdwS1Uxc3pSZGRMTUtzWkQtSmJLMnN2UThkYWRtZE1hUkpvOVB0UzVqazVLb1HSAZ4BQVVfeXFMT0V3LVYtLXBlTkx6RWVBUkswOXRlM1lHek1BVXdIU3ZVelZuVE9qeG05TVVoMGtRRlRFQjctdjc1MkVQc2hDR3BVNjdTUW9rMl9iN3pUTmpPdzJiM3Rib1JBamNlaWxpdk9GTVVQSUNnOVpLZFBpRVE5LWRCWTJna2o1X2RhZ0oxZEJOWWtHYjVGbnNselU1RHNZYUItdEE?oc=5,2025-04-13,2025-06-29 20:08:01
화장품,실리콘투,인천일보,"[특징주] 실리콘투(257720), 해외 오프라인 유통채널 확장 주목 - 인천일보","[특징주] 실리콘투(257720), 해외 오프라인 유통채널 확장 주목",https://news.google.com/rss/articles/CBMicEFVX3lxTE85bVEwM0p1d29qV3g3X1FDRnlrMDFVX3FlRkh3bmNxZldRalgwNjAxOEI5UDNRaGZoemdCMzJxVElaNjB3TjlXYlZpY2RQTm1NajRXWlhhdjBGclJ4UmFDNjVhVDg2aDZLWGV3UUI2dkE?oc=5,2025-04-13,2025-06-29 20:08:06
