SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체_이슈,미중 갈등,마켓인,"中, 군사용 희토류 수출 통제 계속…미중 갈등 불씨 - 마켓인","中, 군사용 희토류 수출 통제 계속…미중 갈등 불씨",https://news.google.com/rss/articles/CBMic0FVX3lxTFBiYUhYaWw1Zk9JTXNSV2RSV1QzMjVvWEpDX1V1SHZTVVR2TTAyQnhpMEpjcVFuc1NVeDlYYk5hN0cwLXBFU2x3TEdqSWVON2FBcHBKVzBlWmlaekdEbWwzOWZhZzBLMGFiSHZyLVBrMElZWjg?oc=5,2025-06-15,2025-06-29 20:07:55
6G,쏠리드,theonetv.kr,"하나증권 ""쏠리드, 실적·재료 '쌍끌이' 대박 예고""…목표주가 15,000원 '강력 매수' - theonetv.kr","하나증권 ""쏠리드, 실적·재료 '쌍끌이' 대박 예고""…목표주가 15,000원 '강력 매수'",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5LaVZNelpCYm1jbmZZbVkxWFVpUjJKZGFvVjFpZWF4dkJIUzN4Rk5BeWw5OFNmenpFcjhNaWRCMlRPR29LT0Vwb05MWDBSNVo2S0pNc0V5MlBmc0FaV19QT2xtaGt4M2Vx?oc=5,2025-06-15,2025-06-29 20:07:56
6G,쏠리드,핀포인트뉴스,"통신장비 상장기업 브랜드평판 6월 1위 쏠리드, 2위 인텔리안테크, 3위 인성정보 - 핀포인트뉴스","통신장비 상장기업 브랜드평판 6월 1위 쏠리드, 2위 인텔리안테크, 3위 인성정보",https://news.google.com/rss/articles/CBMic0FVX3lxTE5tajRvWVh6S3NvbGJ2bGZGaVZ6dURQSEJpdzJHSEhrTklNNTAyV1daVXdNdnJRa1BremVPQTZHcTQwUGZWVGJZc2otT0JKQ2JNZGZlMlVZYVZjRUR1NmNyemFUZ21Na0VyX2FnWFNrQ2RKa2fSAXdBVV95cUxON2M3ekZGdENyUDVybEYwdVRHd0lCSTNPazVaU3hrYURiY0pZRzRNMW5xRHdzOGpocGk5TEFpMFRaZkNLMU93NjlveTBqVDdhZjcwcmtGMERQQjVfLV82emtnbmNWbEtOVzRIUU5HbE1EeldyTHp3aw?oc=5,2025-06-15,2025-06-29 20:07:56
엔터,JYP,iMBC 연예,'복면가왕' JYP 연상케 하는 그루브의 소유자 등장…정체는?! - iMBC 연예,'복면가왕' JYP 연상케 하는 그루브의 소유자 등장…정체는?!,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9qTFZfcGVJYUMyaGt4VjM3eHFxYS1ISmJjV0dWckw5QjE3UEJXcDF0WEM4OWlYUGU2eHVCZ2R1ZVlLa1UxclFXUmh2TWZucExWal9vOXRGeGc1dWNNeXJSVA?oc=5,2025-06-15,2025-06-29 20:07:57
엔터_이슈,한한령,cmnews.kr,"제이준코스메틱, 한한령 해제 기대감 속 K뷰티 경쟁력 강화 - cmnews.kr","제이준코스메틱, 한한령 해제 기대감 속 K뷰티 경쟁력 강화",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9HMTQ1RkFkU3BwR3VJMi1mY19rM0pqUWs1d2dHaWVzNTdMd3hVUVVYSmh2RGZPSERZTTVnVUlPYmNfN2U3aDZyMG1UNTduUXY5LWktclhrdFNteF9hMTBiVExYSU5oMnM?oc=5,2025-06-15,2025-06-29 20:07:58
엔터_이슈,빌보드,한국경제,"엔하이픈, '빌보드 200' 3위…5개 앨범 연속 '톱10' - 한국경제","엔하이픈, '빌보드 200' 3위…5개 앨범 연속 '톱10'",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9EbE9wWVQyZTFvc2NiX1NRMXVvZm9NY1FJZGhsYVVwTk5SX3E4QlJISVJXMlRkRWJiSGdOeThSM194NTlWNk5vX3NoV3BWSVUyY2VRc3hncHJGZ9IBVEFVX3lxTE9lU3M0eVRxZ3lRX2hRR094MjB1Nm5TU2lpUWNTMWRoUkxnTE8zbi15Z1J4WENDY0E3eF95Ym1BVHVrZV91Z2c4VThwU040elJrWS1nTA?oc=5,2025-06-15,2025-06-29 20:07:59
엔터_팀,세븐틴,조선일보,"세븐틴, THUNDER’로 음악방송 7관왕..식지 않는 인기 - 조선일보","세븐틴, THUNDER’로 음악방송 7관왕..식지 않는 인기",https://news.google.com/rss/articles/CBMiigFBVV95cUxPeXgtX29aMDRRNnZndU1CZnY0dW9EcEY4Z0FmUFZrcG5NTlgxMEtGbVUwajJ2dVRwdks5SHhGYW01REMwWHRrSXlnQnkzMDNKTXZkOEU3aEZHSXRaMW5LZmxGc1M3UUxmZFBhTlhJSlBoQVJ3R1NPd2Q1SlhRdmVBYTZyWDFKLXU4dXfSAZ4BQVVfeXFMUDZNNzBoV1NIX2RxMGN6THg3M3J5VldHVElvTWJFVHhWaGljU3JLM2F2ZWlCVy0tQTRnLWNsc1FXcFhNWWJETXBtd3AxblduTXl4OXpEM284Q3FzRW9pM0tHN3hHaWtJZ0hHVFlacTR1YkQ5RWFiZ0NBLV85M05IeVlzX1Z5aml4bnltVFd4czVLR1BYaUlMdmdhdXFzRHc?oc=5,2025-06-15,2025-06-29 20:07:59
엔터_팀,세븐틴,MBC,"세븐틴, '음중' 2주 연속 1위…'THUNDER'로 음악방송 7관왕 - MBC","세븐틴, '음중' 2주 연속 1위…'THUNDER'로 음악방송 7관왕",https://news.google.com/rss/articles/CBMiY0FVX3lxTFBVeGk3RktfN3E0S3dmUVRzLVYwSENIUEh3elMwb19jci1pb000VWptYXBIQ3NfVll4Ym9Fa3RZNUlGRjc4N3kyU0hjaGN6emg0eldWMDJlMWxPa200Y2ExNHZQbw?oc=5,2025-06-15,2025-06-29 20:07:59
엔터_팀,NCT,한국경제,"NCT 도영 ""'나혼산' 이후 어르신들 알아봐…완전 신나요"" [인터뷰] - 한국경제","NCT 도영 ""'나혼산' 이후 어르신들 알아봐…완전 신나요"" [인터뷰]",https://news.google.com/rss/articles/CBMiWkFVX3lxTE14b0NMS0hEUVpCeV93WXdhOUc0UEg5TEJBc3dEeWd2amJkX1NXV1d5MGxZODJydUhiNjUzdy14S0sxZ1E2dUNMWXVmTGNudVVWZXBCYlFmNVhOd9IBVEFVX3lxTE1HQVhDRDMyakxpZkY3NURmRlpkTkdEenB3bl9lYXV5dWxQaTRJeGw0VE0zSEllVzVQTWlacVc4RUU2dS04ZzRyTC1Xbm5Xb0NULVRHMA?oc=5,2025-06-15,2025-06-29 20:07:59
엔터_팀,베이비몬스터,연합뉴스,베이비몬스터 '포에버' 뮤비 2억뷰…내달 새 싱글 - 연합뉴스,베이비몬스터 '포에버' 뮤비 2억뷰…내달 새 싱글,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBfVkYtOWVpUkFjY2l4Mnk3RjJfMndYMDJ1UnpuTVNvTGdKbVQ5MzBheTJuR3h6LUVKcHQ3a3VRS2VTbFRSMENDMG9YMklqRHNqOW40WFJRR1F3aVHSAWBBVV95cUxPUVB1UGZ4WlBxNE1aOVBSNGV3MWtFdkJXTDdmMXdud1NrTUN5eFk1ZElpWEFyeDJIM19rTlEwX3hFS3l0NlJRek9oV2drQWd5NFFZdE5MTjUtMG1HVkVHb0w?oc=5,2025-06-15,2025-06-29 20:08:02
