SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G,쏠리드,글로벌이코노믹,"[특징주] 통신장비 기업 쏠리드, 주가 7%대 강세...장중 6000원 '터치' - 글로벌이코노믹","[특징주] 통신장비 기업 쏠리드, 주가 7%대 강세...장중 6000원 '터치'",https://news.google.com/rss/articles/CBMihwFBVV95cUxNUUQ5cDJ5ZjNWV3JUMzFRN3JVV0tSY0RaN2VhNkJRRWhhUHBIbGFJakhZM3dQQU5WWTEyNVgtTnVua01rc1VtY0MzZHJhcHFPYUJKZ2FNQURZazZsRlJWbjNBM0FWQ1kyXzN1Mm1pRlZWWnhHVkEzczA1dVNFOU9NWkhHRG9DUEU?oc=5,2024-12-19,2025-06-29 20:07:56
자율주행,에스오에스랩,빅데이터뉴스,"에스오에스랩, 주가 들썩…'ASS' 국내 도입한 테슬라, 'FSD'도 청신호 - 빅데이터뉴스","에스오에스랩, 주가 들썩…'ASS' 국내 도입한 테슬라, 'FSD'도 청신호",https://news.google.com/rss/articles/CBMie0FVX3lxTE02amI5SlNDVDRVY0lVYS1wUDhaTkc5VGpOMTZPUndGNUxPUTVLOGliV2xaTWozZWtUYkFxcnVyWHNocTNBQndGcFdDR3U5LVdlMkx5aGRULVVUWW93STNIM1JkeXhVVDgzcEszNDRaLWhjM0ZRREJya0haUQ?oc=5,2024-12-19,2025-06-29 20:08:02
화장품_이슈,면세점 매출,지디넷코리아,"""실적 회복 기대했는데""…면세점, 환율 급등에 울상 - 지디넷코리아","""실적 회복 기대했는데""…면세점, 환율 급등에 울상",https://news.google.com/rss/articles/CBMiVkFVX3lxTE8yTHdHNVVfQ2tlSUc1RFY3NUlPRnl1UGRrSmI3WW96VnJBaHNKMlhTSkcteXFxLWxNdXpsMEp2OGZnZXV0YnYtZGVTZFZMa1NxRVJCcU9R?oc=5,2024-12-19,2025-06-29 20:08:06
스마트팩토리_이슈,스마트팩토리,헬로티,[편집장 칼럼] 2025년 스마트공장 주목할 4가지 전망 - 헬로티,[편집장 칼럼] 2025년 스마트공장 주목할 4가지 전망,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1BNTA1UVZvenoxdUFFTDZJWi0zWnU4Y216X3B3ZW4wWWZwampOYkJkZFRQQnk4bTFYU2l4LVdTZEVHWHV1MkdaME9WQ2Z5NkxBajk4d3ZObUs3cTR0b0E?oc=5,2024-12-19,2025-06-29 20:08:07
