SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체_이슈,슈퍼사이클,이코노믹리뷰,"‘가동률↓’ 배터리 3사, 조만간 올 슈퍼 사이클 대비한다 - 이코노믹리뷰","‘가동률↓’ 배터리 3사, 조만간 올 슈퍼 사이클 대비한다",https://news.google.com/rss/articles/CBMibEFVX3lxTFB3OXNkTkNXWGpiQ0RWdWlXdVZtSjRlZkJiMjFHaDRpT2Vabmt3cE5qcDQ2dXlyR0dwVWdWa29PbUdRZm02cDYxQy1abkhObnNGSUkybHlxbWZKaV8zeTJpMm8xMUR3eEpveTJWVQ?oc=5,2025-03-29,2025-06-29 20:07:55
6G_이슈,스타링크,매거진한경,"일론 머스크의 '스타링크', 6월부터 韓 서비스 예상 - 매거진한경","일론 머스크의 '스타링크', 6월부터 韓 서비스 예상",https://news.google.com/rss/articles/CBMibEFVX3lxTE1RM1N4eTdRSkdXbHFuNG9jNlNyT2oyWHM0MWNEU1U1YUxLUjBvejRyM0laX0lSZjBXSUtuX2pGb2xjNmZIRXFDQ1YwVXdJOE1fWGNxUTYxMGNETU40ajdGZnM1TmtOdkdSai14MQ?oc=5,2025-03-29,2025-06-29 20:07:56
화장품_이슈,중국 경제,프레시안,"중국 경제, '피크' 찍었나…기술 발전에도 마냥 웃을 수 없는 이유는 - 프레시안","중국 경제, '피크' 찍었나…기술 발전에도 마냥 웃을 수 없는 이유는",https://news.google.com/rss/articles/CBMia0FVX3lxTFBrVTJ6RzdYRHI4Q1lQb2J1Z3FmdWRfckRGVmYwU2hHblhUcWg1U2s3ZmVSRm56bVBvVUI0eVZJY1dDRHRMX2tXRS1vOVA2MzZqaXRfODlOdGprZnZvY18zOUR0anVCSFYxd2ww?oc=5,2025-03-29,2025-06-29 20:08:06
