SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G_이슈,6G,Samsung Global Newsroom,"삼성전자, KT와 차세대 통신 연구 협력…다중 안테나·AI 기술로 신호 품질 대폭 개선 - Samsung Global Newsroom","삼성전자, KT와 차세대 통신 연구 협력…다중 안테나·AI 기술로 신호 품질 대폭 개선",https://news.google.com/rss/articles/CBMiuwJBVV95cUxPUVZWa1hVLUpPb0c2UllxOG4waHd0SGlZbmRlZnRtNHlkWXhGSDNjYVZSc05XNHRnam5JeGpYQVVzZXgwRGdVaThFNDNJeGRpdlpUdEZDUlBKbHM0ZXJ3X2M5NHNnRmdOZEJBSjVQSERjb0ZhTWxLQ20wajBpLUw3Y2FSdUdpMWZXeUxwajJHQ0RiallhYWtVODFpYzJpUmZPVmxWdGRDeG5tMVFmOU1HTnNwM0oxQXpCZnozRkdfWkEzZnBHYmg1TndnQ2pwVVdSUkJxU2dZcXVtN0k4bUJWdU1NZHdZeHBXeVk0Zi05bTM2cTZZc3lOMVRkWWR1WVIyWW0wNkhRTWZUVzBfRUZ0cEZHMGQ3M1F4N1JKX2JSZXZxaHNqUGN0UDFITDQySHJnekh2UDJ0M3Y0V3c?oc=5,2025-03-31,2025-06-29 20:07:56
6G_이슈,스타링크,연합뉴스,"'대만판 스타링크' 2029년 구축…""1천100억 들여 위성 4개 발사"" - 연합뉴스","'대만판 스타링크' 2029년 구축…""1천100억 들여 위성 4개 발사""",https://news.google.com/rss/articles/CBMiW0FVX3lxTE82REZqMEZPdm83dl9qM3NPMHRydGZxMHkwdkJhRnNjbEpkSDVGVFZRdzh1Y3M4alFQQ2ZBMDdrQ3pPTmRXQ1hHeV8tNG1yRjUtZzZoMVRqS19NdzjSAWBBVV95cUxOc3ZyQ0ZqVHROckJYT3dxZ1hTVFpsRmcxalhHN3RRdnlRdS15UU00ZFNvdGttM0pVMGhYTVdOSXoxY1JBMFNMR1ZFb1I0Rml4SDZKNmxSY013N3hlTEVyTlY?oc=5,2025-03-31,2025-06-29 20:07:56
6G_이슈,V2X,e4ds news,"에티포스, 중소벤처기업부 ‘2025 초격차 스타트업 1000+’ 선정 - e4ds news","에티포스, 중소벤처기업부 ‘2025 초격차 스타트업 1000+’ 선정",https://news.google.com/rss/articles/CBMiY0FVX3lxTFBLYXdaVmcxU0RyTklFeHhuZVRTNnRvemxYbU5SSzJxSk9xUFNpNkVzRmRWMEVRY09HX29yYmdVMUJiT0tUcDJIajZFblNfZ1h0NVJNakNfNVMtTVpfVkxRMU9TRQ?oc=5,2025-03-31,2025-06-29 20:07:57
엔터_팀,NCT,SM Entertainment,"‘4월 14일 컴백’ NCT WISH, 타이틀곡 ‘poppop’ 짜릿하게 터지는 청량감 - SM Entertainment","‘4월 14일 컴백’ NCT WISH, 타이틀곡 ‘poppop’ 짜릿하게 터지는 청량감",https://news.google.com/rss/articles/CBMiqAJBVV95cUxOVDRwWExMMmJTRUhOdjRaa01vNDFHYVctejc1NTloa2VxMWdNalF5ZHN5VE15VDJ2N2RXN09WTV94R29kY3JxcS1CakVNc3VKRGJCSlk0TlNvU0NLbDRqck9TLUI4MHgzTjB4QnhHVnFObHNyM2NsUHpveGN3OXVRM3Z1RlVTX0JwRkhBT3hCZzc0UmNhbTBpWmZHd3Y3Y3BfOWp3NGxfR28welNzUDRPbjYyZU8yQ1hEaS1ZN3g3eEtvOHpIOEJJd2VJN19aWFplYjBaUTkwdHRvWlZCVDVjQlM5MGVJN3VBdjR6b3pNVFA1QTRlRHBPQWNmek11Z0hTRl9qMWRBRzFGUzluTUJsM3FacnVRQkNyS0lDdEY5WS1VQ0VfN1N0bw?oc=5,2025-03-31,2025-06-29 20:07:59
자율주행_이슈,ADAS,서울파이낸스,"""하이브리드로 부드럽게, ADAS로 안전하게""···르노, 2026년형 아르카나 출시 - 서울파이낸스","""하이브리드로 부드럽게, ADAS로 안전하게""···르노, 2026년형 아르카나 출시",https://news.google.com/rss/articles/CBMiakFVX3lxTFBjWUR3QzlTanNVTHo3SUoxbG1DY2lzeXprenhydWhwQ0diVGQzSDZYQnFyeTl6UTY5c0tOVTRfWHRMWHdHRm92N2RZNnJwVHk0NlNoQzUwamFBcHY2UTRFTXdtMFM2ZFpnUnc?oc=5,2025-03-31,2025-06-29 20:08:03
2차전지,SK온,전자부품 전문 미디어 디일렉,"하나기술, SK온에 첫 스태킹 장비 공급…우원기술 독점 깨졌다 - 전자부품 전문 미디어 디일렉","하나기술, SK온에 첫 스태킹 장비 공급…우원기술 독점 깨졌다",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9WX0w0OEdYN3FyUE5HVWx2U0FiYUl4bTIwTmZvbll6NFJoWWJXZk5hWHZWR2Z3RzZOem1wdWItckZaVlVWS19Ba1ROMEdRTXFQR2NibVN6Q0xFODVVWVl0MmhGbTgwZw?oc=5,2025-03-31,2025-06-29 20:08:04
2차전지,SK온,이코리아,"SK온, 북미서 영토 확장 본격화, 올해 전망 밝다 - 이코리아","SK온, 북미서 영토 확장 본격화, 올해 전망 밝다",https://news.google.com/rss/articles/CBMib0FVX3lxTE1oNDRyWTdjT2VIaG5xZHk1dG1qWDhSVzhGY3c0eS1McUZfcHZpUTU1MWdPOEU5Z2VoS1VSVmJMVWFYOGVZaHRvd0I4dzJPSV9paHUxWE5KY2xHRzNBZ081WmtRR0ozVGpGUElrdC04WQ?oc=5,2025-03-31,2025-06-29 20:08:04
2차전지,에코프로비엠,데일리인베스트,"[급락주 핵심체크] 에코프로비엠, 유럽시장 회복으로 실적 개선 전망…주가 반등? - 데일리인베스트","[급락주 핵심체크] 에코프로비엠, 유럽시장 회복으로 실적 개선 전망…주가 반등?",https://news.google.com/rss/articles/CBMia0FVX3lxTE9UZDBES0FjT3ZlelFuTFlndkNMdXZHZWZwV0t3NV9qVWY4RWYxQWNiTzA3OHJLZlRVZDdNTWRmcXVoTnRMM3ZLb0xOTGN6bUMxU3plckx5Z1FSa2NIQW15YzBQc2J1SXFnU1Nr0gFvQVVfeXFMTWUxUThSYTJ6NVQwOGM0WEoxNVpxblR6dHVxZE5YRFR1amk4RHBGRUpPNHA1Q05TTXlYSnNwd081NGZGdW0tTGxzdW1EQ1RmLXpHT2pxb1EtdVB1a2tVMWVxYlY4SkFScE5aRThBMlRn?oc=5,2025-03-31,2025-06-29 20:08:04
2차전지_이슈,전고체 배터리,오토뷰,"실험실 나온 전고체 배터리, 일반도로 시험 시작 - 오토뷰","실험실 나온 전고체 배터리, 일반도로 시험 시작",https://news.google.com/rss/articles/CBMibEFVX3lxTE1pMjBFU0l5UmFvUncyZ2wwaUEtYUlLMkxodkpsTmJIVm1pczV1c3RFSDl4U3FTMExyb21JdTRRNk1vX2FBWEllaEtQRXZWa3lkTVV3bFhqbG1vaGlsSDJ4Q0FXNzFrWEpIYUpJY9IBcEFVX3lxTFA0a2VnaHBGa1JNeldnUWtFTXVuOXlwNW5FSk1wTXd4NDdyUGoxUmtlUHVobUdYOWRkOWxaRS1KYlBEWXdzczlpSTBVTTJmcEd1dVExZndnOUp6d0t3a3VzWi1BZDBZcWxHMTRTSUxKT1k?oc=5,2025-03-31,2025-06-29 20:08:05
화장품,실리콘투,딜사이트,"실리콘투, '발란 기업회생' 논란에 당혹 - 딜사이트","실리콘투, '발란 기업회생' 논란에 당혹",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1Ia2R1NUJjdWVPdExMcDdrT3Rvci1OWU0wZXJodHN0UlhQbXY1WVFSRkhXRGgybV81Uk91emZoZmxRNk43QnJIZ09HNzI0VDQ?oc=5,2025-03-31,2025-06-29 20:08:06
화장품_이슈,면세점 매출,비즈니스포스트,"미래에셋증권 ""아모레퍼시픽, 면세점과 중국 매출 제외하고는 다 좋아"" - 비즈니스포스트","미래에셋증권 ""아모레퍼시픽, 면세점과 중국 매출 제외하고는 다 좋아""",https://news.google.com/rss/articles/CBMic0FVX3lxTE44UDhTN3NPV1JQV3RaaWlYeng5SjdGT3Y1c2lYa2kwQ0E2M2N5UXdzay1FdDUyTjNjN05IVU5ySnNxMmd3YmxhRVUwZFEzTFhabTU5X0NIQWlTYXNyRTBWMDVwcVBYWHJDTzU0S1VCTEdHOG8?oc=5,2025-03-31,2025-06-29 20:08:06
화장품_이슈,면세점 매출,뉴시스,"롯데면세점, 작년 영업손 1432억 적자전환 ""'비상경영으로 수익성개선 노력"" - 뉴시스","롯데면세점, 작년 영업손 1432억 적자전환 ""'비상경영으로 수익성개선 노력""",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9rcDR3cy1MRUs5R2VzUlBYc1kxd2ZPbVdJVXZqeDltb095bUFsQW45Tkt2NXEtMnh6X0F0QXNiV05yMXBOM0owX2xKZ3Z5aGJLakViQksySlUxdWRWVmNrUdIBeEFVX3lxTFBMekhHVjRUNGVhNHJvVVBnODBkZ0JDcGdxeGhtMWdyUFNPaWtXbXRUanBlV0ExNEotR3JIQno3a1VsclZXMlN2VVlkMzBaaEU4VnliX1I2Z3l0V1pqUW54ZHJ4Y2tFVC1pSW1aLXFWeXd4TlZLX0xkVA?oc=5,2025-03-31,2025-06-29 20:08:06
스마트팩토리_이슈,스마트팩토리,Chosunbiz,"효성, 스마트팩토리·AI 투자로 생산 효율 극대화 - 조선비즈 - Chosunbiz","효성, 스마트팩토리·AI 투자로 생산 효율 극대화 - 조선비즈",https://news.google.com/rss/articles/CBMihAFBVV95cUxNWDdxYU9xSm9zWl9TSGNpaXhQV0ZucnVkeW9lTUpkZ041UlZOa05RcmJXVjREQlBXOExuN1FwQlhBNDBfTXNtNE9OVnJtbjdrZVJBSENIMkp2NWZWZm96UDE2ODJqOHA0dGczanF2RFBvc3pRQ2poUE5CaVBuY1UyVmZCeGLSAZgBQVVfeXFMUFY0TWtjVE5KUTlDSTF6X0h1YUFzekdvNkdObHEzbGtPOHYwN19jNlRrNmpwNXpydHlEWmNxVGQyWF9yTEdTeklNcmtpUm9mbXBDbU1rb2llbWpWcTkyX2UwTW9OMHBPZ1hvRHYyUUdYTWNrTEVpa1BxN0dxclNsbmRjWFdUQlhucEJOMU5Vbmp5RHRFMjl0RXk?oc=5,2025-03-31,2025-06-29 20:08:07
