SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체,AMD,e4ds news,"AMD, 2025년 1분기 x86 프로세서 시장 점유율 증가 - e4ds news","AMD, 2025년 1분기 x86 프로세서 시장 점유율 증가",https://news.google.com/rss/articles/CBMiYkFVX3lxTE0wb2x1Q2JQd1hyMGIyZ3l6OFM4N2tiWUR3dGo3bzZMTk1kWkVTcHZtNUd0MTVxajV5clVUVmdvcl8zbDVXYnRVa1J5S1JiZksteWNZc2lGalNGMFFsaFlubUpR?oc=5,2025-05-19,2025-06-29 20:07:53
반도체,AMD,헬로티,"AMD-사우디 휴메인, 100억 달러 AI 슈퍼컴퓨터 동맹 체결 - 헬로티","AMD-사우디 휴메인, 100억 달러 AI 슈퍼컴퓨터 동맹 체결",https://news.google.com/rss/articles/CBMiX0FVX3lxTE1KdWE1dktTOHJnTmFyVjFLMk1VWTloS1N2N3U4VmY2Vk5LV182cGF5bTNiRXI0Yk16eUxxLTFzNlljcnFkb2FRdUs3TDlqUlVwUzBzRmk1QlpTMEdEazg0?oc=5,2025-05-19,2025-06-29 20:07:53
반도체,AMD,글로벌이코노믹,"AMD, TSMC 2나노 공정 세계 첫 적용... EPYC '베니스'로 HPC 새 시대 연다 - 글로벌이코노믹","AMD, TSMC 2나노 공정 세계 첫 적용... EPYC '베니스'로 HPC 새 시대 연다",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOWVV1TmYzUzZSZ1FfMHNVd09lSGp5TGZPSDY4VVh0N2JuSzZiQTNpS1pzUUp1MTV6SmJTMVNvQ3FxSTI0ZWJQTzQ0eEJ2Y0hfemVUcXlTYmIwMXRid2ZHc2RySTk5eFhlbnlLOXMwTi0xNmxLWW12VDAzeGpTOGhhMmpGcWZtT0hn?oc=5,2025-05-19,2025-06-29 20:07:53
6G,쏠리드,뉴시스,"쏠리드, 6G 위성통신 단말국 국책과제 주관기관 선정 - 뉴시스","쏠리드, 6G 위성통신 단말국 국책과제 주관기관 선정",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBrdmhBNURya21oSFQzdlRnaXhSVzc0SU1vMTJ5c2p4OUdrd19zSFdHRlVqbE1BQldtclN4MENRLW16UEpNZE12XzVXS0ZMLThjUTVKa0gxWUpwODhUeHE0R9IBeEFVX3lxTE1mc0diU0FjWWJ4VkdGNUlPaWFhNmRYNFdseGtBVk5zendIYW1KRUtQeFFxSmdIV3BuTjdpX093N1VDLVdwcVlaOG92aHFTYlZUUWpSRG9ZdTFUMFktV3JvdGtVTmtmNEpJbEk3UE5XVVRNNnRJTGo4Rw?oc=5,2025-05-19,2025-06-29 20:07:56
6G_이슈,V2X,Business Research Insights,"모든 것에 대한 자동차 차량 (V2X) 통신 시장 규모, 공유 | 2025 ~ 2033 - Business Research Insights","모든 것에 대한 자동차 차량 (V2X) 통신 시장 규모, 공유 | 2025 ~ 2033",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQzU4QlJic2tlQlM4X1YxTm1odlBNN1J5TS1WUF9EUGRxaTFtQ0h1VVZwMkFneHZFSnFNOEdHYnRueXJvdko5bWowMHc0UGp3dVY5WlY2MHFlY0N4bllTOVo4UzhsWmRfaEM1cHpXY214V2MteFBHcW5kRzFuVC0xN1k5bElkWVVWQ3BlVmI4RnFwSjFLNWNVLUd2SkV0aE1BRVhlcFZHbFFSdXNsQzJsMmZnUEdRU21ZZXZLQ3VlbUdCdw?oc=5,2025-05-19,2025-06-29 20:07:57
엔터,에스엠,헬로티,"에스엠코어, 1분기 매출액 89% 증가 “자동화 설비 수주 호조” - 헬로티","에스엠코어, 1분기 매출액 89% 증가 “자동화 설비 수주 호조”",https://news.google.com/rss/articles/CBMiX0FVX3lxTE5DUVZpOEZwXzU3NFEzcjdqdUtleDlqampWNUtOaFllUXBVQzllUU5YQVRFRjNaTm9kazBYcUZqaG9pZmtLVFFBVGc3MWY1SXpIb2dtYlh0bmxFZVpmb2hB?oc=5,2025-05-19,2025-06-29 20:07:58
엔터_팀,엑소,SM Entertainment,"엑소 카이, 이래서 좋아하지! 첫 솔로 콘서트 ‘KAION’ 전석 매진 大성황 - SM Entertainment","엑소 카이, 이래서 좋아하지! 첫 솔로 콘서트 ‘KAION’ 전석 매진 大성황",https://news.google.com/rss/articles/CBMivgJBVV95cUxNeDR5cnNnYlBSZzBCcFY4RGRwMHRCZXdjdUgzVVdXODVwdWlGRzZ6Qjctd0RFV21wWmRIMUJ4aWltRkVYc1BybXVjZlkxTmo5ZmZmVmdpV28wYWtNNnJVMEFRRFM2SnFQYk5CVFhXdVBrc2tTV0FJSnVLNWdQYUZJTDlKY3FPRHdZeUx4ZG1iaXN2WV8xQkZaSlEzNjJKeng3YnFSNFFSWGhlUWxiZ0lkcl80bVRBYlB3blVJaWFTb1JlZUlmaFdZWnFiY1JsSjJ0YlFGZmFHbGNvakNLX0RZeW9rU05zaFByV3lRSHpTMWczOF9Ec1p3VGktTVlYRlh4ekFlMU9IcThUOGtRWXV6RTBBVWxPcEdpelhxNUljZFNnd09rNXQ4MGFvNURqejI4VWJEdXdRRWNuRVZwaXc?oc=5,2025-05-19,2025-06-29 20:08:00
엔터_팀,레드벨벳,연합뉴스,"[게시판] 동아제약 아일로, 새 모델에 레드벨벳 아이린 - 연합뉴스","[게시판] 동아제약 아일로, 새 모델에 레드벨벳 아이린",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1BcmJJUFpzcGRIY3hwcXhweGlLSTlGNmpOSzNvZDg5Sk1PbVRseTZOdXprTlJxdUtraVNVSl92X0ZYM3hjZnNpMHZCVlZWY3cyLWYtdTJpY01CeTjSAWBBVV95cUxPVDBUa3RHWDhocldpbHR2bllLNVc3OTQyMkhBV09MNVdCUWZJN05rX1NzZjc5a01tbXJLZzh6TEU5UmVXMEZRX2xIVnNtcjNlbEpuTXZNVVNHbW9ST084RUw?oc=5,2025-05-19,2025-06-29 20:08:00
엔터_팀,레드벨벳,팜뉴스,"동아제약 아일로, 레드벨벳 아이린 브랜드 모델 발탁 - 팜뉴스","동아제약 아일로, 레드벨벳 아이린 브랜드 모델 발탁",https://news.google.com/rss/articles/CBMibEFVX3lxTFBjakhFVTFmdF9DejNYc21CNEVhZk96QkJqUDlQckgxbDE1Y212NjB5bDctVmR4UzZqQjhvY1pVZWRnMmktRWR0WDNVeTh4dzVzMjVIckRYWWszb3UyUjJrTzk3bjFYSXZzdGVBTtIBcEFVX3lxTE82Ym51alFrTkdqVjhDdjlBWnZZTkd2NlRUTXByTGNKVWxRUER3TmlpMzR3djJ4THBzZXhlVmRPRmRQVktWTVV5UEFTTjNkT2JyTnJFR3prZi1wWW9Kbk1kOWxhWVBOUEpyaWhiOW9uVG8?oc=5,2025-05-19,2025-06-29 20:08:00
엔터_팀,레드벨벳,SM Entertainment,"레드벨벳-아이린&슬기, 두 번째 미니앨범 ‘TILT’로 들려주는 솔직 당당 애티튜드 - SM Entertainment","레드벨벳-아이린&슬기, 두 번째 미니앨범 ‘TILT’로 들려주는 솔직 당당 애티튜드",https://news.google.com/rss/articles/CBMiugJBVV95cUxOaDVPQi1wSG1OTm94SlYxSlZUWmpTNm9zYURnZXA4d2ZvLUcwNENMT3pHNzdPdUY4bzl2Q1BtOWF1TzU3dGJ0WktmSTR3aXR2NjJwNTM1dmRBTlZlVmVESzZjOHlJYUM5akpxME1JVlQ3X1VVZHZYOFpjN013OU02c3FlNlBSUjVyRXA0eGRrUnJ2VzdOaUU1Z2N4cXNUYjZGMUFhWGppOHQ3NXhqSWNUU2picVk2bjZHMk9aZGRJVXB0NjZIZ2dLWE94OERnYTdFUzZEclh1bjJ6aUV6aEhQN2FKU1pnM20xVGExb0Z5QUlVWWo1YVZwR3h1ZTQ3SDZwcG5TTm4zYzNveFVDNlNNbGtBRHdsLS1mcE5ab3NsU1k3cm1OMndxRGNsR29pMzNvamo1alowV0Rldw?oc=5,2025-05-19,2025-06-29 20:08:00
