SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G_이슈,V2X,e4ds news,韓 자율주행 데이터 표준 국제적 인정 - e4ds news,韓 자율주행 데이터 표준 국제적 인정,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5HOGpYZDlnb3dBS2p3VFlMcUdTeWJpSXdfTWN1ckx1Nm03RHBqTC1admpUNlVYQ1VDVUQ2VVhBQzJ1ZXl6Q011Zy1NWEZXZ3R4My1STHExN1FsNUpXYnVJNDZ4VQ?oc=5,2024-09-24,2025-06-29 20:07:57
자율주행,에스오에스랩,뉴스핌,"""에스오에스랩, 내년 흑자전환 예상되는 국내 유일 라이다 기업"" - 신한證 - 뉴스핌","""에스오에스랩, 내년 흑자전환 예상되는 국내 유일 라이다 기업"" - 신한證",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBnM2wzQkhJX1lYZzE3ZERLQXk2ZVppc2pGZkxaZHpUaXczeHpybE5HazNVUzNEQkktbmtEanN4R0VGWWlqR2VBVC1OZDBWRzA0b0VDWUpFdGc3VW9a0gFeQVVfeXFMTkRwSk9henZnd1hMTGRJNXU2S2NUb1hFYS1KWV91dUpGZ1NjOUp1Vk5mckZjUlEySXpnTkdtMDFndmpienNSSDcyRzljdmNYVFBMbVRNc0V1ZkttdWlEdw?oc=5,2024-09-24,2025-06-29 20:08:02
자율주행,에스오에스랩,데일리인베스트,"[Hot 종목 체크] 에스오에스랩, 완성차 라이다 양산 등으로 실적 고성장? - 데일리인베스트","[Hot 종목 체크] 에스오에스랩, 완성차 라이다 양산 등으로 실적 고성장?",https://news.google.com/rss/articles/CBMia0FVX3lxTE5ZT3Y3dHBQb05SS0RsNmI0ZTZyeWNIRk1heDhhRVNtdDVzTHlNT2tNZGN1TDlidUxTRkROb0tkQW5kLUlpRWpXVlgyT3U1dHVTY3prdUk4NnVSR1pMR2Ryc0J4aF9lekVwaDFr0gFvQVVfeXFMUFo0YUlqdWNnVGV4YUpJSmlSNmc4OXNyVlI3c080UHRjWFlCOUJ6U0VfSm1oVndiOU11dTR1cjZRR2pVbUZfaWVxUW5vVnJ4RWlvZkxRUFh6Z2o2bWkzUzduRWRjYTNwLVZINDk2bWYw?oc=5,2024-09-24,2025-06-29 20:08:02
