SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
반도체_이슈,슈퍼사이클,한국경제,"'슈퍼 사이클' 조선株, 줄줄이 52주 신고가 경신 - 한국경제","'슈퍼 사이클' 조선株, 줄줄이 52주 신고가 경신",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9nNWVsMmNWa0dxbGRBdHJVLUR0RUtROFNUdGpLY1E0d2MxZm8ybWQ4OFlZYXh5TGh5U2xEaXQ2RFZPSVhicDZaOUk2c2VIb1NDbWhDbW45RElzQdIBVEFVX3lxTE9zUFlCOWZrZUZDR2t3eHFlbDQwQ3Nsd3pWSHQ0ZS1iTENLazJ2Q1B6VERiVmxfNno1d212WXRFVF9FQmRlU2dQMzIzSjYxbHJ3RlQ0dA?oc=5,2025-01-14,2025-06-29 20:07:55
6G_이슈,스타링크,연합뉴스,韓착륙 스타링크 어떤 변화 가져올까…LCC서 와이파이 쓰게될 듯 - 연합뉴스,韓착륙 스타링크 어떤 변화 가져올까…LCC서 와이파이 쓰게될 듯,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1DeW5sWmxSUzZocFpZSjZtQ0J4Y0dITjVRYktMNk4yakVfZTNDQTdFZ00xTGh6TE5jLS1vZm1HV2dvTGkxYS0zZzMtZjNLeVY0RGFmUUh0Y2pWTUXSAWBBVV95cUxNcXM1dElUVzNhNVcyYjdmWlV4RVRVaVlVUlBJNHM0dWc0bXAtYzdDdXVuMnR3WldST2UwQXU4UnltUGhZT3lKeTR3aHZpVS1tMGhhRlREVXZRVUowUW9lYzM?oc=5,2025-01-14,2025-06-29 20:07:56
6G_이슈,스타링크,한국경제,"韓 상륙 초읽기…스타링크, 통신 판 흔든다 - 한국경제","韓 상륙 초읽기…스타링크, 통신 판 흔든다",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBrdXU1QnVMdFp5R0wtdXhSR24xNDlzMkZWbGlleHlFNkhHVlM5M3BVQ2pSbXR2cVcwa3J5OTI3U1BwdzZTOEtnMWxzZ192Y2xpMFA1NFVzaHdZd9IBVEFVX3lxTE15aEpsR2JpWlBNR2g2cHJjNkVRU0dvUHBNZG1aMlFaRG9EbXgyUTBSZXZWSndJaE1IcXhJUFZFV05DbFRKb1oxa2FOeXlnVDdiZ2puaQ?oc=5,2025-01-14,2025-06-29 20:07:56
엔터,JYP,연합뉴스,JYP표 신인에 '에스파 동생'…속속 베일벗는 대형기획사 루키 - 연합뉴스,JYP표 신인에 '에스파 동생'…속속 베일벗는 대형기획사 루키,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9HcXlGeDhLazVwc2RPT3VacHJac2JsNlctSWU5Z0oxT1o2WkMxNmdzUkt5dGFOTTI0MGVCUXhtenZKMGF4RDZsZ01zcmdxNmlyTU1MN2NINzZ6ajDSAWBBVV95cUxNcHRhbnRnY3FpVUFRdjRYcEQwdXRSN2d0SDY3c0YyeVRvRHpkY0l5RFBTVkFsN1NWM2FiUmw4dlhqUXFlYWZrVGU2dWw5LXZEWWZoT2htYi1KYTZUWjVpSXg?oc=5,2025-01-14,2025-06-29 20:07:57
엔터_팀,트레저,브릿지경제,"트레저, 3월 서울서 팬 콘서트 포문…20일 선예매 오픈 - 브릿지경제","트레저, 3월 서울서 팬 콘서트 포문…20일 선예매 오픈",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5sSDBjd1lXMVJYcHg2Mmw2RVAzWnRlQk5tM2IzRjhQWlBMZHhxQVpnVzdvbFVqR25aWmsxVENiTEJXM2ViWFlHSjVxVGhnQjdtcFZfb0V5VG1aUQ?oc=5,2025-01-14,2025-06-29 20:08:01
엔터_팀,트레저,YTN,"트레저, 2025 서울 팬 콘서트 예매 일정 공개…글로벌 투어 시작 - YTN","트레저, 2025 서울 팬 콘서트 예매 일정 공개…글로벌 투어 시작",https://news.google.com/rss/articles/CBMiXkFVX3lxTE83WXlsMnJhMEk2Ri00VGhWRGd2ZnpUNWNyTTdoUVpnS1pyMWJ5dDRqaTJIWEJOMG9zRmwzdDNkcUx0YVBEQnR3ZUdVc3lQSklfTUx1NnNoS3NvVzFSQXfSAYMBQVVfeXFMT0NFUnl5djUwMzZtenh3MVJORUk0S2NQdVNoc3ZZdW92SVpnbmliYWU2c2N2OTlwNlBmSlljcmJ6ZjQ4enpQVHRLZUtWT1dUT2FuZEFfXzRZQUpZSzEtTWtyNlFaN3lGNDhyeTh3TlRYZzlCT2NKN3g0QWgyaUtTeUZ4RGM?oc=5,2025-01-14,2025-06-29 20:08:01
화장품_이슈,면세점 매출,뉴스1,"""볼륨보다 수익"" 따이공 끊는 롯데免…업계 판도 바뀐다 - 뉴스1","""볼륨보다 수익"" 따이공 끊는 롯데免…업계 판도 바뀐다",https://news.google.com/rss/articles/CBMiX0FVX3lxTE15Y0JZSHoyeG93M1plYWY3Z1JKaW1RaDhLVG56ZmZEaXUzdkRWWFJGT1czOGZ4em1BdVRITERmcUVrWHBZNHRsaTFYR2lHbzVnbllmakpSWXRDcGdZSDVj?oc=5,2025-01-14,2025-06-29 20:08:06
화장품_이슈,면세점 매출,연합뉴스,즐길 거리 풍성한 부산면세점 용두산점 방문객·매출 증가 - 연합뉴스,즐길 거리 풍성한 부산면세점 용두산점 방문객·매출 증가,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1vTjQ2MmIzM1dUb1BrZXN3QUVEWktoUTlqa0ZnSUdGWHhnM3F2dV9LdjNQSXo3TDVEWVJtM2RFNnVpblZtWjZ1NGpMeEJScmVKa0dtWVk1UFJMMzDSAWBBVV95cUxONzB4MXYwcW8yUVdXR2ZiWHJUX0o1cklJcHdzX1dnaFd2NktjMUZjQ01UdjBOc1lqRmpTVVVaWVdOaExWZUhQQmMxVm9VZkhxcXdVMEZPWjhLdjAwT2RLVHU?oc=5,2025-01-14,2025-06-29 20:08:06
엔터_팀,레드벨벳,아이즈(ize),"'12년차' 레드벨벳, 과반수 재계약 성공…존속 형태 새 국면 - 아이즈(ize)","'12년차' 레드벨벳, 과반수 재계약 성공…존속 형태 새 국면",https://news.google.com/rss/articles/CBMiZkFVX3lxTFBobzN5bHotbzlQNEdEeGJfa09aYk9DZ3hCOVhrUl92UFc3ZnBTT2k5REtaTk9lY2FHTEZhUExySVNCUE9IWGN6TEhiRVlpMkVNOS1nQWlzMVhVX19PTWttdXpKZFR6QdIBakFVX3lxTE1JRkFvVElLdzBiNGxacnNWZlB5REE4RDRsMmoxdWo5QldjUDZ5U0FuR2w0VlFZM0RqenpvOXZfblRsZnF3cGxmbXJBb1pwRmJBZVNJTXZLSHJ6ZWlGOWQyRXhIU0pfWnduVWc?oc=5,2025-01-14,2025-06-29 20:13:03
화장품_이슈,면세점 매출,헤럴드경제,"올리브영 외국인 매출 두 배↑…면세점, ‘맞춤형’ 자구책 내놓는다 - 헤럴드경제","올리브영 외국인 매출 두 배↑…면세점, ‘맞춤형’ 자구책 내놓는다",https://news.google.com/rss/articles/CBMiVkFVX3lxTE83dXdLZEVyRmpIcjJINjVkdVVGOGUzSDNEeURQcmZTdlUtam9XNlpWLTlXNDItWXlJU0ozcUhrc21TUjVtZHQ1WG93VDBYRWVpYW5la0V3?oc=5,2025-01-14,2025-06-29 20:13:10
