SECTOR,KEYWORD,MEDIA,TITLE,DESCRIPTION,URL,PUBLISHED,SCRAPED_AT
6G,RFHIC,잡포스트,"국내 유일 GaN 전력증폭기 업체 RFHIC, 글로벌 방산 시장 진출 가속화 - 잡포스트","국내 유일 GaN 전력증폭기 업체 RFHIC, 글로벌 방산 시장 진출 가속화",https://news.google.com/rss/articles/CBMibkFVX3lxTE5HaUFQWkpZWDlxTHRZMVdYQldrSjl5ZTRIclljZWFwTkFfcWJ2NURsNktUUEVUMl9LRThDMzQ5Z2RFb28zcDI2ZFZLWGNudDNlV2hBcnAxY0thdnFpeC1rZlE2S094VWRLMmV6Undn?oc=5,2025-02-26,2025-06-29 20:07:55
6G,쏠리드,잡포스트,"쏠리드, 2025년 이익 성장 전망… 통신장비 업종 빅사이클 진입 기대 - 잡포스트","쏠리드, 2025년 이익 성장 전망… 통신장비 업종 빅사이클 진입 기대",https://news.google.com/rss/articles/CBMibkFVX3lxTE9JLWIyWGFGdTdlei1WN0l2TEVWdTlHRkVNV2tXNTBubDVGT3FNdWRDMXl4MjNZUVBZSk00cFF6Y3RRc2R4Vkota19mQVlsZkR2NDYzUGd1cHlOem5ST0oycHd1ZW1kc1ROckU0Y2hR?oc=5,2025-02-26,2025-06-29 20:07:56
6G,쏠리드,잡포스트,"쏠리드, 안정적 수익성 유지…내년 실적 개선 전망 - 잡포스트","쏠리드, 안정적 수익성 유지…내년 실적 개선 전망",https://news.google.com/rss/articles/CBMibkFVX3lxTE9lblhGQ0d2cEcyMWdRR25oeUlmMFRfUUtDTVIxQ2trSE5LR2h3NlhJZWppbFpCS1Q0bjI5S1VyaW1ucjNvYWhtU1VXSjh4ZmdGMzlvMGplQXNKejNOSGo4TE0xZlF3RXpPYTZCNy1B?oc=5,2025-02-26,2025-06-29 20:07:56
6G_이슈,5G,현대자동차그룹,"현대자동차-삼성전자, 기술협력으로 스마트 팩토리 구축 나선다 - 현대자동차그룹","현대자동차-삼성전자, 기술협력으로 스마트 팩토리 구축 나선다",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9Cdkk4Z2tDMHZqVmttM3JZdFA2dFhDYTJERFg4ZjdpbDJvTHNFMVVkSFp6eUhVWlVNU2E1X3FKZlVZM3JsSVlBNE1NOUxoVWFJeFE5amVMTXBta2hHXzRvSQ?oc=5,2025-02-26,2025-06-29 20:07:56
엔터,와이지 엔터,MTN 머니투데이방송,블랙핑크 투어 일정 뜨니 주가도 날았다...돈줄 열린 YG [엔터코노미] - MTN 머니투데이방송,블랙핑크 투어 일정 뜨니 주가도 날았다...돈줄 열린 YG [엔터코노미],https://news.google.com/rss/articles/CBMiZEFVX3lxTE00VlFZWVhULUc5ZTY4RW1qakI5eGZhZl9mWjRZSkdHYWV5UU1kLUlsR1pkZ3NJZDQ2amJ2X3phcDc5MVRhOFVGR2hFU0FWSkRrUlpNSC1WVjRtRmZGVU5xeDRvV08?oc=5,2025-02-26,2025-06-29 20:07:57
엔터_이슈,한한령,Chosunbiz,"中 빗장, 8년 만에 풀릴까... 목마른 유통街, 한한령 해제 기대감 - 조선비즈 - Chosunbiz","中 빗장, 8년 만에 풀릴까... 목마른 유통街, 한한령 해제 기대감 - 조선비즈",https://news.google.com/rss/articles/CBMihgFBVV95cUxQWE9QR3JENTR5NjFIQ2oyZmJFeUYzSTNySU1SdVI3cS1XQ2M3Tk1zcnN3SENyVmE0eGUwMDJXUTNyS0NGWkNBdXlfNHk4VDRxQjUzWTJsWVBtRGVEUFptM2lYbWRmckhpbDlVRnpRYklXNjRGZTZ2alhsb3JwbTFUSl94X3hXZ9IBmgFBVV95cUxPdTZteUk1anFoWnktYzdIRWRwOWFSVXFtcklsYWJHaGsxWFc0N0ZEbUhvd0xrY2hBVzJaWkFScE44WjBfMk9WWG1RMERUanFFcFV0OENkRy12QkZ5MEFnSUpxcjBIUEFlNkV5SnM4UURqRnVTM2cyczBOdFpQTjBvTWRGSmNHdzdManp6OWRNcWZNWUhCdjVDNktn?oc=5,2025-02-26,2025-06-29 20:07:58
엔터_이슈,한한령,뉴스1,'한한령 해제' 호재 온다…中시장 기대감 커지는 K-뷰티 - 뉴스1,'한한령 해제' 호재 온다…中시장 기대감 커지는 K-뷰티,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBDX0NyX3Q5Mkl5c0xULTlGNG9VOElYdUpSa1ZWOXQ4R3daVk1uYVZrUXlWdjBGNkxDekRhZ3J3aEQ0UmpCbXZWcXM3bjdib09lSjFXdjAzQ2FDUVl6?oc=5,2025-02-26,2025-06-29 20:07:58
자율주행,에스오에스랩,뉴스핌,"""에스오에스랩, 2025년 로봇 매출이 시작된다"" – 삼성證 - 뉴스핌","""에스오에스랩, 2025년 로봇 매출이 시작된다"" – 삼성證",https://news.google.com/rss/articles/CBMiXEFVX3lxTE55WmF2MzZESktWVDREOHFuSlloWmI4QmY3SnJhMVZfYXF2X2FvLU0yVDBvZ2xtdDNJczJHMWs1ZjFoRFFENFNPWHZ0WlkyNlFSdlozR1JmNlVyR2lT0gFeQVVfeXFMUF9ERHRwRUFONThZbWZFcUFKQ3JIeFhuNUVZTkVBMWpJc1VWbVI4THZsMktSSnQzeVlrdUxCMFpWeWs2UWc4LVVKWklUazJnVlRuU09Vd3E4cmJpV1F0dw?oc=5,2025-02-26,2025-06-29 20:08:02
자율주행,에스오에스랩,네이트 뉴스,"[리포트 브리핑]에스오에스랩, '2025년, 로봇 매출이 시작된다' Not Rated - 삼성증권 - 네이트 뉴스","[리포트 브리핑]에스오에스랩, '2025년, 로봇 매출이 시작된다' Not Rated - 삼성증권",https://news.google.com/rss/articles/CBMiU0FVX3lxTE80anhRMHRDZVhSUk12djd4VFB5dzZxMGtKZ2RRT0paWndGZVpzWlkxaklIbW5mLUdlcGNjTEtYWmFCaTBpQ09TY0dBUS1zSWtsVUpr?oc=5,2025-02-26,2025-06-29 20:08:02
자율주행_이슈,ADAS,글로벌오토뉴스,"중국 자동차 시장, 하드웨어보다 소프트웨어 중시… ADAS 채용 확대 - 글로벌오토뉴스","중국 자동차 시장, 하드웨어보다 소프트웨어 중시… ADAS 채용 확대",https://news.google.com/rss/articles/CBMidkFVX3lxTE5wUnB0NWdmWEIwVXkwNTE1VG5Qd3pDRU1heW9rUGphd1psRnlZMDhnZ1NReWtHclpXS0xWNmtkRlhHU0RUclg0UEtaRmlqazlYRTB2VEJJQ29TRDczQmkzSXJZblIzQWstRkRpWjQ5c1ZUOVJpTEE?oc=5,2025-02-26,2025-06-29 20:08:03
